Date;Open;High;Low;Close;Volume;Adj Close
2015-07-21;46.779999;47.330002;46.48;47.279999;42781900;46.655785
2015-07-20;46.650002;47.130001;46.439999;46.919998;30631900;46.300537
2015-07-17;46.549999;46.779999;46.259998;46.619999;29467100;46.004499
2015-07-16;46.009998;46.689999;45.970001;46.66;26271700;46.043972
2015-07-15;45.68;45.889999;45.43;45.759998;26629600;45.155852
2015-07-14;45.450001;45.959999;45.310001;45.619999;22880300;45.017701
2015-07-13;44.98;45.619999;44.950001;45.540001;28178300;44.93876
2015-07-10;45.009998;45.139999;44.57;44.610001;25465800;44.021038
2015-07-09;44.75;45.220001;44.50;44.52;32424700;43.932226
2015-07-08;44.439999;44.900002;44.029999;44.240002;39785900;43.655924
2015-07-07;44.34;44.490002;43.32;44.299999;36435800;43.715129
2015-07-06;43.959999;44.48;43.950001;44.389999;23034000;43.803941
2015-07-02;44.48;44.75;44.060001;44.400002;21752000;43.813811
2015-07-01;44.459999;45.23;44.099998;44.450001;28343900;43.86315
2015-06-30;44.709999;44.720001;43.939999;44.150002;35945400;43.567112
2015-06-29;45.040001;45.23;44.360001;44.369999;34081700;43.784205
2015-06-26;45.650002;46.279999;45.029999;45.259998;49835300;44.662454
2015-06-25;46.029999;46.060001;45.50;45.650002;20616000;45.047308
2015-06-24;45.669998;46.25;45.549999;45.639999;34890900;45.037438
2015-06-23;46.130001;46.279999;45.619999;45.91;25896500;45.303874
2015-06-22;46.330002;46.720001;46.16;46.23;20318100;45.619649
2015-06-19;46.790001;46.830002;45.990002;46.099998;63837000;45.491364
2015-06-18;46.220001;46.799999;46.169998;46.720001;32658300;46.103181
2015-06-17;45.73;46.07;45.360001;45.970001;28704100;45.363083
2015-06-16;45.349998;46.240002;45.299999;45.830002;27070300;45.224932
2015-06-15;45.450001;45.650002;45.02;45.48;33254500;44.87955
2015-06-12;46.220001;46.470001;45.900002;45.970001;23931000;45.363083
2015-06-11;46.66;46.919998;46.130001;46.439999;27347800;45.826875
2015-06-10;45.790001;46.830002;45.689999;46.610001;28417400;45.994633
2015-06-09;45.759998;45.939999;45.459999;45.650002;24406100;45.047308
2015-06-08;46.299999;46.43;45.669998;45.73;22121600;45.12625
2015-06-05;46.310001;46.52;45.84;46.139999;25438100;45.530837
2015-06-04;46.790001;47.16;46.200001;46.360001;27745500;45.747933
2015-06-03;47.369999;47.740002;46.82;46.849998;28002200;46.231462
2015-06-02;46.93;47.349998;46.619999;46.919998;21498300;46.300537
2015-06-01;47.060001;47.77;46.619999;47.23;28837300;46.606446
2015-05-29;47.43;47.57;46.59;46.860001;36519600;46.241332
2015-05-28;47.50;48.02;47.389999;47.450001;19283700;46.823543
2015-05-27;46.82;47.77;46.619999;47.610001;27335600;46.98143
2015-05-26;46.830002;46.880001;46.189999;46.59;29581900;45.974896
2015-05-22;47.299999;47.349998;46.82;46.900002;25720600;46.280805
2015-05-21;47.279999;47.599998;47.009998;47.419998;22410700;46.793936
2015-05-20;47.389999;47.93;47.27;47.580002;25047900;46.951827
2015-05-19;47.560001;47.810001;47.18;47.580002;28574800;46.951827
2015-05-18;47.98;48.220001;47.610001;48.009998;24136500;47.07024
2015-05-15;48.869999;48.91;48.049999;48.299999;28642700;47.354564
2015-05-14;48.029999;48.82;48.029999;48.720001;32980900;47.766345
2015-05-13;48.189999;48.32;47.57;47.630001;34184600;46.697681
2015-05-12;46.849998;47.68;46.419998;47.349998;29928300;46.423159
2015-05-11;47.549999;47.91;47.369999;47.369999;24609400;46.442768
2015-05-08;47.549999;47.98;47.52;47.75;35364900;46.815331
2015-05-07;46.27;47.09;46.16;46.700001;32971700;45.785884
2015-05-06;47.57;47.77;46.02;46.279999;52433000;45.374104
2015-05-05;47.82;48.16;47.310001;47.599998;50369200;46.668265
2015-05-04;48.369999;48.869999;48.18;48.240002;34039500;47.295741
2015-05-01;48.580002;48.880001;48.400002;48.66;38937300;47.707518
2015-04-30;48.700001;49.540001;48.599998;48.639999;64725500;47.687909
